,0
0,0.2
1,0.008771929824561403
2,0.017857142857142856
3,0.06666666666666667
4,0.1
5,0.03571428571428571
6,0.08333333333333333
7,0.018518518518518517
8,0.022727272727272728
9,0.016666666666666666
10,0.3333333333333333
11,0.0196078431372549
12,0.041666666666666664
13,0.0014727540500736377
14,0.5
15,0.008928571428571428
16,0.03225806451612903
17,0.16666666666666666
18,0.08333333333333333
19,0.2
20,0.25
21,0.02564102564102564
22,0.015873015873015872
23,0.25
24,0.25
25,0.09090909090909091
26,0.014705882352941176
27,0.25
28,0.3333333333333333
29,0.25
30,0.25
31,0.25
32,0.09090909090909091
33,0.5
34,0.2
35,0.2
36,0.014705882352941176
37,0.5
38,0.2
39,0.25
40,0.003787878787878788
41,0.0017094017094017094
42,0.002053388090349076
43,0.011235955056179775
44,0.0005963029218843172
45,0.021739130434782608
46,0.0006954102920723226
47,0.1
48,0.0005285412262156448
49,0.002136752136752137
50,0.009900990099009901
51,0.002008032128514056
52,0.0021141649048625794
53,0.002336448598130841
54,0.005847953216374269
55,0.002136752136752137
56,0.021739130434782608
57,0.002336448598130841
58,0.009900990099009901
59,0.003787878787878788
60,0.07692307692307693
61,0.047619047619047616
62,0.043478260869565216
63,0.04
64,0.045454545454545456
65,1.0
66,0.045454545454545456
67,0.045454545454545456
68,0.058823529411764705
69,0.0024752475247524753
70,0.0625
71,0.02
72,0.2
73,0.000992063492063492
74,0.045454545454545456
75,0.047619047619047616
76,0.047619047619047616
77,0.045454545454545456
78,0.047619047619047616
79,0.07692307692307693
80,0.0058823529411764705
81,0.045454545454545456
82,0.09090909090909091
83,0.14285714285714285
84,0.25
85,0.0007446016381236039
86,0.0035842293906810036
87,0.003703703703703704
88,0.09090909090909091
89,0.1
90,0.1111111111111111
91,0.011235955056179775
92,0.06666666666666667
93,0.05
94,0.1111111111111111
95,0.038461538461538464
96,0.07692307692307693
97,0.0034965034965034965
98,0.1111111111111111
99,0.0058823529411764705
100,0.0014577259475218659
101,0.16666666666666666
102,0.004629629629629629
103,0.004629629629629629
104,0.0045871559633027525
105,0.004694835680751174
106,0.045454545454545456
107,0.018518518518518517
108,0.03333333333333333
109,0.04
110,0.012658227848101266
111,0.5
112,0.015873015873015872
113,0.09090909090909091
114,0.00684931506849315
115,0.00043010752688172043
116,0.06666666666666667
117,0.03333333333333333
118,0.004629629629629629
119,0.0014577259475218659
120,0.07692307692307693
121,0.02564102564102564
122,0.003401360544217687
123,0.004975124378109453
124,0.0011547344110854503
125,0.022727272727272728
126,0.01
127,0.0008583690987124463
128,0.011363636363636364
129,0.025
130,0.003278688524590164
131,0.08333333333333333
132,0.0005104645227156713
133,0.0004161464835622139
134,0.25
135,0.006711409395973154
136,0.015873015873015872
137,0.08333333333333333
138,0.01098901098901099
139,0.0017421602787456446
140,0.125
141,0.5
142,1.0
143,0.08333333333333333
144,0.3333333333333333
145,0.16666666666666666
146,0.5
147,1.0
148,1.0
149,0.5
150,0.08333333333333333
151,0.08333333333333333
152,0.06666666666666667
153,1.0
154,0.14285714285714285
155,1.0
156,1.0
157,1.0
158,0.5
159,1.0
160,0.022727272727272728
161,0.002277904328018223
162,0.0625
163,0.008849557522123894
164,0.006289308176100629
165,0.027777777777777776
166,0.01098901098901099
167,0.0005963029218843172
168,0.2
169,0.003816793893129771
170,0.008620689655172414
171,0.002631578947368421
172,0.002369668246445498
173,0.012048192771084338
174,0.004
175,0.00392156862745098
176,0.0025575447570332483
177,0.02040816326530612
178,0.00202020202020202
179,0.002369668246445498
180,0.14285714285714285
181,0.08333333333333333
182,0.2
