,0
0,5.0
1,114.0
2,56.0
3,15.0
4,10.0
5,28.0
6,12.0
7,54.0
8,44.0
9,60.0
10,3.0
11,51.0
12,24.0
13,679.0
14,2.0
15,112.0
16,31.0
17,6.0
18,12.0
19,5.0
20,4.0
21,39.0
22,63.0
23,4.0
24,4.0
25,11.0
26,68.0
27,4.0
28,3.0
29,4.0
30,4.0
31,4.0
32,11.0
33,2.0
34,5.0
35,5.0
36,68.0
37,2.0
38,5.0
39,4.0
40,264.0
41,585.0
42,487.0
43,89.0
44,1677.0
45,46.0
46,1438.0
47,10.0
48,1892.0
49,468.0
50,101.0
51,498.0
52,473.0
53,428.0
54,171.0
55,468.0
56,46.0
57,428.0
58,101.0
59,264.0
60,13.0
61,21.0
62,23.0
63,25.0
64,22.0
65,1.0
66,22.0
67,22.0
68,17.0
69,404.0
70,16.0
71,50.0
72,5.0
73,1008.0
74,22.0
75,21.0
76,21.0
77,22.0
78,21.0
79,13.0
80,170.0
81,22.0
82,11.0
83,7.0
84,4.0
85,1343.0
86,279.0
87,270.0
88,11.0
89,10.0
90,9.0
91,89.0
92,15.0
93,20.0
94,9.0
95,26.0
96,13.0
97,286.0
98,9.0
99,170.0
100,686.0
101,6.0
102,216.0
103,216.0
104,218.0
105,213.0
106,22.0
107,54.0
108,30.0
109,25.0
110,79.0
111,2.0
112,63.0
113,11.0
114,146.0
115,2325.0
116,15.0
117,30.0
118,216.0
119,686.0
120,13.0
121,39.0
122,294.0
123,201.0
124,866.0
125,44.0
126,100.0
127,1165.0
128,88.0
129,40.0
130,305.0
131,12.0
132,1959.0
133,2403.0
134,4.0
135,149.0
136,63.0
137,12.0
138,91.0
139,574.0
140,8.0
141,2.0
142,1.0
143,12.0
144,3.0
145,6.0
146,2.0
147,1.0
148,1.0
149,2.0
150,12.0
151,12.0
152,15.0
153,1.0
154,7.0
155,1.0
156,1.0
157,1.0
158,2.0
159,1.0
160,44.0
161,439.0
162,16.0
163,113.0
164,159.0
165,36.0
166,91.0
167,1677.0
168,5.0
169,262.0
170,116.0
171,380.0
172,422.0
173,83.0
174,250.0
175,255.0
176,391.0
177,49.0
178,495.0
179,422.0
180,7.0
181,12.0
182,5.0
183,9.0
184,8.0
185,11.0
186,19.0
187,7.0
188,8.0
189,10.0
190,6.0
191,10.0
192,4.0
